yemeni_textual_number,numerical_value
اثناعشر الف وخمسمائه,12500
اثني عشر الف وخمسمائه,12500
اثناعشر الف وخمس مائه,12500
اثني عشر الف وخمس مائه,12500
اثناعشر الف وستميه,12600
اثني عشر الف وستميه,12600
اثناعشر الف وست ميه,12600
اثني عشر الف وست ميه,12600
اثناعشر الف وستمائه,12600
اثني عشر الف وستمائه,12600
اثناعشر الف وست مائه,12600
اثني عشر الف وست مائه,12600
اثناعشر الف وسبعميه,12700
اثني عشر الف وسبعميه,12700
اثناعشر الف وسبع ميه,12700
اثني عشر الف وسبع ميه,12700
اثناعشر الف وسبعمائه,12700
اثني عشر الف وسبعمائه,12700
اثناعشر الف وسبع مائه,12700
اثني عشر الف وسبع مائه,12700
اثناعشر الف وثمانميه,12800
اثني عشر الف وثمانميه,12800
اثناعشر الف وثمان ميه,12800
اثني عشر الف وثمان ميه,12800
اثناعشر الف وثمانمائه,12800
اثني عشر الف وثمانمائه,12800
اثناعشر الف وثمان مائه,12800
اثني عشر الف وثمان مائه,12800
اثناعشر الف وتسعميه,12900
اثني عشر الف وتسعميه,12900
اثناعشر الف وتسع ميه,12900
اثني عشر الف وتسع ميه,12900
اثناعشر الف وتسعمائه,12900
اثني عشر الف وتسعمائه,12900
اثناعشر الف وتسع مائه,12900
اثني عشر الف وتسع مائه,12900 
ثلاثه عشر الف,13000
ثلاث عشر الف,13000
ثلاثه عشر الف وميه,13100
ثلاث عشر الف وميه,13100
ثلاثه عشر الف ومائه,13100
ثلاث عشر الف ومائه,13100
ثلاثه عشر الف ومائة,13100
ثلاث عشر الف ومائة,13100
ثلاثه عشر الف وميتين,13200
ثلاث عشر الف وميتين,13200
ثلاثه عشر الف ومائتين,13200
ثلاث عشر الف ومائتين,13200
ثلاثه عشر الف ومئتين,13200
ثلاث عشر الف ومئتين,13200
ثلاثه عشر الف وثلاثميه,13300
ثلاث عشر الف وثلاثميه,13300
ثلاثه عشر الف وثلاث ميه,13300
ثلاث عشر الف وثلاث ميه,13300
ثلاثه عشر الف وثلاثمائه,13300
ثلاث عشر الف وثلاثمائه,13300
ثلاثه عشر الف وثلاث مائه,13300
ثلاث عشر الف وثلاث مائه,13300
ثلاثه عشر الف واربعميه,13400
ثلاث عشر الف واربعميه,13400
ثلاثه عشر الف واربع ميه,13400
ثلاث عشر الف واربع ميه,13400
ثلاثه عشر الف واربعمائه,13400
ثلاث عشر الف واربعمائه,13400
ثلاثه عشر الف واربع مائه,13400
ثلاث عشر الف واربع مائه,13400
ثلاثه عشر الف وخمسميه,13500
ثلاث عشر الف وخمسميه,13500
ثلاثه عشر الف وخمس ميه,13500
ثلاث عشر الف وخمس ميه,13500
ثلاثه عشر الف وخمسمائه,13500
ثلاث عشر الف وخمسمائه,13500
ثلاثه عشر الف وخمس مائه,13500
ثلاث عشر الف وخمس مائه,13500
ثلاثه عشر الف وستميه,13600
ثلاث عشر الف وستميه,13600
ثلاثه عشر الف وست ميه,13600
ثلاث عشر الف وست ميه,13600
ثلاثه عشر الف وستمائه,13600
ثلاث عشر الف وستمائه,13600
ثلاثه عشر الف وست مائه,13600
ثلاث عشر الف وست مائه,13600
ثلاثه عشر الف وسبعميه,13700
ثلاث عشر الف وسبعميه,13700
ثلاثه عشر الف وسبع ميه,13700
ثلاث عشر الف وسبع ميه,13700
ثلاثه عشر الف وسبعمائه,13700
ثلاث عشر الف وسبعمائه,13700
ثلاثه عشر الف وسبع مائه,13700
ثلاث عشر الف وسبع مائه,13700
ثلاثه عشر الف وثمانميه,13800
ثلاث عشر الف وثمانميه,13800
ثلاثه عشر الف وثمان ميه,13800
ثلاث عشر الف وثمان ميه,13800
ثلاثه عشر الف وثمانمائه,13800
ثلاث عشر الف وثمانمائه,13800
ثلاثه عشر الف وثمان مائه,13800
ثلاث عشر الف وثمان مائه,13800
ثلاثه عشر الف وتسعميه,13900
ثلاث عشر الف وتسعميه,13900
ثلاثه عشر الف وتسع ميه,13900
ثلاث عشر الف وتسع ميه,13900
ثلاثه عشر الف وتسعمائه,13900
ثلاث عشر الف وتسعمائه,13900
ثلاثه عشر الف وتسع مائه,13900
